name,unit_type,capacity,is_pool,pool_qty,active,bed_config,notes
Habitación 01,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 02,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 03,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 04,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 05,std_5,6,False,0,True,"3 Literas","Plano ARQ_A_001"
Habitación 06,std_5,6,False,0,True,"3 Literas","Plano ARQ_A_001"
Habitación 07,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 08,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 09,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 10,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 11,std_4,3,False,0,True,"2 Camas (1 Nido)","Plano ARQ_A_001"
Habitación 12,vip_2,2,False,0,True,"1 Cama 2 Plazas","Plano ARQ_A_001"
Habitación 13,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 14,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 15,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 16,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 17,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 18,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 19,std_5,6,False,0,True,"3 Literas","Plano ARQ_A_001"
Habitación 20,std_5,6,False,0,True,"3 Literas","Plano ARQ_A_001"
Habitación 21,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 22,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 23,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 24,std_4,4,False,0,True,"2 Literas","Plano ARQ_A_001"
Habitación 25,vip_2,2,False,0,True,"2 Camas","Plano ARQ_A_001"
Habitación 26,std_4,3,False,0,True,"2 Camas (1 Nido)","Plano ARQ_A_001"
Camping Pool,camp_slot,1,True,150,True,"Pool","Cupos genéricos iniciales"
Salón Principal,event_space,350,False,0,True,"Espacio","Capacidad evento"
Capilla,event_space,120,False,0,True,"Espacio","Capacidad evento"
